RegionID,Stock_Market,Mortgage_Rate,Monthly_Supply_Of_Homes,Median_Price_Range
395209,2522.659912,6.08,10.7,350k - 400k
394856,2522.659912,6.08,10.7,250k - 275k
394347,2522.659912,6.08,10.7,175k - 200k
394404,2522.659912,6.08,10.7,300k - 350k
395057,2522.659912,6.08,10.7,550k - 600k
394532,2522.659912,6.08,10.7,125k - 150k
395025,2522.659912,6.08,10.7,300k - 350k
394976,2522.659912,6.08,10.7,200k - 225k
395078,2522.659912,6.08,10.7,300k - 350k
394865,2522.659912,6.08,10.7,200k - 225k
395056,2522.659912,6.08,10.7,400k - 450
395121,2522.659912,6.08,10.7,150k - 175k
395148,2522.659912,6.08,10.7,175k - 200k
394358,2522.659912,6.08,10.7,250k - 275k
394530,2522.659912,6.08,10.7,225k - 250k
394982,2522.659912,6.08,10.7,125k - 150k
394998,2522.659912,6.08,10.7,275k - 300k
394458,2522.659912,6.08,10.7,175k - 200k
395045,2522.659912,6.08,10.7,300k - 350k
395055,2522.659912,6.08,10.7,150k - 175k
394943,2522.659912,6.08,10.7,200k - 225k
394466,2522.659912,6.08,10.7,125k - 150k
394475,2522.659912,6.08,10.7,125k - 150k
394735,2522.659912,6.08,10.7,150k - 175k
394775,2522.659912,6.08,10.7,250k - 275k
394492,2522.659912,6.08,10.7,150k - 175k
394705,2522.659912,6.08,10.7,125k - 150k
395059,2522.659912,6.08,10.7,650k - 700k
394355,2522.659912,6.08,10.7,175k - 200k
395194,2522.659912,6.08,10.7,200k - 225k
394902,2522.659912,6.08,10.7,150k - 175k
395005,2522.659912,6.08,10.7,250k - 275k
394862,2522.659912,6.08,10.7,175k - 200k
394714,2522.659912,6.08,10.7,175k - 200k
394849,2522.659912,6.08,10.7,125k - 150k
394935,2522.659912,6.08,10.7,100k - 125k
394807,2522.659912,6.08,10.7,125k - 150k
394669,2522.659912,6.08,10.7,225k - 250k
395022,2522.659912,6.08,10.7,200k - 225k
394910,2522.659912,6.08,10.7,150k - 175k
394425,2522.659912,6.08,10.7,100k - 125k
395012,2522.659912,6.08,10.7,200k - 225k
394388,2522.659912,6.08,10.7,150k - 175k
395053,2522.659912,6.08,10.7,225k - 250k
395031,2522.659912,6.08,10.7,100k - 125k
394640,2522.659912,6.08,10.7,125k - 150k
395167,2522.659912,6.08,10.7,200k - 225k
753924,2522.659912,6.08,10.7,400k - 450
395169,2522.659912,6.08,10.7,125k - 150k
394619,2522.659912,6.08,10.7,225k - 250k
395238,2522.659912,6.08,10.7,225k - 250k
394415,2522.659912,6.08,10.7,400k - 450
394312,2522.659912,6.08,10.7,175k - 200k
394308,2522.659912,6.08,10.7,175k - 200k
394938,2522.659912,6.08,10.7,125k - 150k
394908,2522.659912,6.08,10.7,225k - 250k
394357,2522.659912,6.08,10.7,225k - 250k
394753,2522.659912,6.08,10.7,125k - 150k
394653,2522.659912,6.08,10.7,125k - 150k
394952,2522.659912,6.08,10.7,450k - 500k
394318,2522.659912,6.08,10.7,175k - 200k
394561,2522.659912,6.08,10.7,125k - 150k
394367,2522.659912,6.08,10.7,150k - 175k
394521,2522.659912,6.08,10.7,125k - 150k
394486,2522.659912,6.08,10.7,125k - 150k
394648,2522.659912,6.08,10.7,125k - 150k
394304,2522.659912,6.08,10.7,100k - 125k
753906,2522.659912,6.08,10.7,225k - 250k
394798,2522.659912,6.08,10.7,125k - 150k
395134,2522.659912,6.08,10.7,250k - 275k
394457,2522.659912,6.08,10.7,200k - 225k
395143,2522.659912,6.08,10.7,100k - 125k
394484,2522.659912,6.08,10.7,200k - 225k
395235,2522.659912,6.08,10.7,125k - 150k
395224,2522.659912,6.08,10.7,100k - 125k
395115,2522.659912,6.08,10.7,200k - 225k
394440,2522.659912,6.08,10.7,200k - 225k
394399,2522.659912,6.08,10.7,175k - 200k
395160,2522.659912,6.08,10.7,100k - 125k
394816,2522.659912,6.08,10.7,200k - 225k
394766,2522.659912,6.08,10.7,150k - 175k
394931,2522.659912,6.08,10.7,175k - 200k
394528,2522.659912,6.08,10.7,175k - 200k
394531,2522.659912,6.08,10.7,150k - 175k
394711,2522.659912,6.08,10.7,125k - 150k
394352,2522.659912,6.08,10.7,125k - 150k
394666,2522.659912,6.08,10.7,150k - 175k
395006,2522.659912,6.08,10.7,200k - 225k
394549,2522.659912,6.08,10.7,175k - 200k
394995,2522.659912,6.08,10.7,175k - 200k
395183,2522.659912,6.08,10.7,300k - 350k
394746,2522.659912,6.08,10.7,100k - 125k
395048,2522.659912,6.08,10.7,200k - 225k
394927,2522.659912,6.08,10.7,125k - 150k
394602,2522.659912,6.08,10.7,200k - 225k
394405,2522.659912,6.08,10.7,300k - 350k
394471,2522.659912,6.08,10.7,125k - 150k
394645,2522.659912,6.08,10.7,200k - 225k
394813,2522.659912,6.08,10.7,125k - 150k
394346,2522.659912,6.08,10.7,150k - 175k
394623,2522.659912,6.08,10.7,150k - 175k
395246,2522.659912,6.08,10.7,200k - 225k
395009,2522.659912,6.08,10.7,150k - 175k
395007,2522.659912,6.08,10.7,125k - 150k
395094,2522.659912,6.08,10.7,100k - 125k
394546,2522.659912,6.08,10.7,150k - 175k
395166,2522.659912,6.08,10.7,350k - 400k
395153,2522.659912,6.08,10.7,175k - 200k
394586,2522.659912,6.08,10.7,175k - 200k
394309,2522.659912,6.08,10.7,100k - 125k
394742,2522.659912,6.08,10.7,150k - 175k
395091,2522.659912,6.08,10.7,100k - 125k
395230,2522.659912,6.08,10.7,100k - 125k
753899,2292.97998,6.45,10.7,450k - 500k
394463,2292.97998,6.45,10.7,250k - 275k
394514,2292.97998,6.45,10.7,150k - 175k
394974,2292.97998,6.45,10.7,225k - 250k
394692,2292.97998,6.45,10.7,150k - 175k
395209,2292.97998,6.45,10.7,350k - 400k
394856,2292.97998,6.45,10.7,250k - 275k
394347,2292.97998,6.45,10.7,175k - 200k
394404,2292.97998,6.45,10.7,350k - 400k
395057,2292.97998,6.45,10.7,500k - 550k
394532,2292.97998,6.45,10.7,125k - 150k
395025,2292.97998,6.45,10.7,275k - 300k
394976,2292.97998,6.45,10.7,200k - 225k
395078,2292.97998,6.45,10.7,300k - 350k
394865,2292.97998,6.45,10.7,200k - 225k
395056,2292.97998,6.45,10.7,400k - 450
395121,2292.97998,6.45,10.7,150k - 175k
395148,2292.97998,6.45,10.7,175k - 200k
394358,2292.97998,6.45,10.7,250k - 275k
394530,2292.97998,6.45,10.7,225k - 250k
394982,2292.97998,6.45,10.7,125k - 150k
394998,2292.97998,6.45,10.7,275k - 300k
